"","source","type","score","phase","gene_id","gene_type","gene_name","level","hgnc_id","havana_gene"
"ENSG00000216687.2","HAVANA","gene",NA,NA,"ENSG00000216687.2","processed_pseudogene","AL390237.1","1",NA,"OTTHUMG00000014932.2"
"ENSG00000216708.1","HAVANA","gene",NA,NA,"ENSG00000216708.1","processed_pseudogene","CIR1P3","1","HGNC:44013","OTTHUMG00000044383.1"
"ENSG00000216710.1","HAVANA","gene",NA,NA,"ENSG00000216710.1","processed_pseudogene","COX6A1P3","1","HGNC:37633","OTTHUMG00000015473.1"
"ENSG00000216713.1","HAVANA","gene",NA,NA,"ENSG00000216713.1","processed_pseudogene","MTND4P13","2","HGNC:42222","OTTHUMG00000015867.1"
"ENSG00000216718.7","HAVANA","gene",NA,NA,"ENSG00000216718.7","processed_pseudogene","AL024509.2","1",NA,"OTTHUMG00000014387.2"
"ENSG00000216721.3","HAVANA","gene",NA,NA,"ENSG00000216721.3","processed_pseudogene","AC093850.1","1",NA,"OTTHUMG00000154839.1"
"ENSG00000216723.1","HAVANA","gene",NA,NA,"ENSG00000216723.1","processed_pseudogene","NUDT19P3","1","HGNC:43587","OTTHUMG00000015410.1"
"ENSG00000216740.2","HAVANA","gene",NA,NA,"ENSG00000216740.2","processed_pseudogene","ANXA2P3","1","HGNC:540","OTTHUMG00000018326.1"
"ENSG00000216753.3","HAVANA","gene",NA,NA,"ENSG00000216753.3","processed_pseudogene","HMGA1P7","2","HGNC:19122","OTTHUMG00000015610.3"
"ENSG00000216754.2","HAVANA","gene",NA,NA,"ENSG00000216754.2","processed_pseudogene","AL050335.1","1",NA,"OTTHUMG00000014291.2"
"ENSG00000216762.1","HAVANA","gene",NA,NA,"ENSG00000216762.1","processed_pseudogene","VN1R13P","2","HGNC:18723","OTTHUMG00000014467.1"
"ENSG00000216775.3","HAVANA","gene",NA,NA,"ENSG00000216775.3","transcribed_unprocessed_pseudogene","AL109918.1","2",NA,"OTTHUMG00000014854.3"
"ENSG00000216777.1","HAVANA","gene",NA,NA,"ENSG00000216777.1","processed_pseudogene","PRRC2CP1","2","HGNC:23949","OTTHUMG00000036160.1"
"ENSG00000216781.2","HAVANA","gene",NA,NA,"ENSG00000216781.2","processed_pseudogene","AL138885.1","1",NA,"OTTHUMG00000014229.2"
"ENSG00000216802.1","HAVANA","gene",NA,NA,"ENSG00000216802.1","processed_pseudogene","AL590617.1","1",NA,"OTTHUMG00000015675.1"
"ENSG00000216809.1","HAVANA","gene",NA,NA,"ENSG00000216809.1","processed_pseudogene","AL589993.1","1",NA,"OTTHUMG00000015461.1"
"ENSG00000216811.2","HAVANA","gene",NA,NA,"ENSG00000216811.2","processed_pseudogene","AL035698.1","1",NA,"OTTHUMG00000015754.2"
"ENSG00000216813.1","HAVANA","gene",NA,NA,"ENSG00000216813.1","processed_pseudogene","AL358178.1","1",NA,"OTTHUMG00000014798.1"
"ENSG00000216817.1","HAVANA","gene",NA,NA,"ENSG00000216817.1","processed_pseudogene","R3HDM2P2","1","HGNC:44057","OTTHUMG00000015285.1"
"ENSG00000216819.1","HAVANA","gene",NA,NA,"ENSG00000216819.1","unprocessed_pseudogene","TUBB2BP1","2","HGNC:42332","OTTHUMG00000014136.1"
"ENSG00000216824.2","HAVANA","gene",NA,NA,"ENSG00000216824.2","processed_pseudogene","ZNF736P10Y","2","HGNC:38410","OTTHUMG00000041275.1"
"ENSG00000216829.6","HAVANA","gene",NA,NA,"ENSG00000216829.6","unprocessed_pseudogene","FGF7P4","2","HGNC:33587","OTTHUMG00000013561.2"
"ENSG00000216835.3","HAVANA","gene",NA,NA,"ENSG00000216835.3","processed_pseudogene","RBMXP1","1","HGNC:9911","OTTHUMG00000014807.1"
"ENSG00000216844.1","HAVANA","gene",NA,NA,"ENSG00000216844.1","processed_pseudogene","AC009494.1","2",NA,"OTTHUMG00000036545.1"
"ENSG00000216853.1","HAVANA","gene",NA,NA,"ENSG00000216853.1","processed_pseudogene","MTCYBP36","2","HGNC:52304","OTTHUMG00000015231.1"
"ENSG00000216854.2","HAVANA","gene",NA,NA,"ENSG00000216854.2","processed_pseudogene","RPL17P26","1","HGNC:35597","OTTHUMG00000014910.2"
"ENSG00000216859.1","HAVANA","gene",NA,NA,"ENSG00000216859.1","processed_pseudogene","DHFRP5","1","HGNC:52355","OTTHUMG00000014937.2"
"ENSG00000216863.10","HAVANA","gene",NA,NA,"ENSG00000216863.10","lncRNA","LY86-AS1","2","HGNC:26593","OTTHUMG00000014192.4"
"ENSG00000216866.5","HAVANA","gene",NA,NA,"ENSG00000216866.5","processed_pseudogene","RPS2P55","1","HGNC:36140","OTTHUMG00000024112.2"
"ENSG00000216867.2","HAVANA","gene",NA,NA,"ENSG00000216867.2","processed_pseudogene","RPL22P12","1","HGNC:36345","OTTHUMG00000153640.2"
"ENSG00000216895.9","HAVANA","gene",NA,NA,"ENSG00000216895.9","lncRNA","AC009403.1","2",NA,"OTTHUMG00000151355.2"
"ENSG00000216901.1","HAVANA","gene",NA,NA,"ENSG00000216901.1","unprocessed_pseudogene","ZNF603P","2","HGNC:23322","OTTHUMG00000014516.1"
"ENSG00000216902.3","HAVANA","gene",NA,NA,"ENSG00000216902.3","processed_pseudogene","AL122016.1","1",NA,"OTTHUMG00000015132.1"
"ENSG00000216904.2","HAVANA","gene",NA,NA,"ENSG00000216904.2","processed_pseudogene","SOCS5P5","1","HGNC:44601","OTTHUMG00000015396.2"
"ENSG00000216906.2","HAVANA","gene",NA,NA,"ENSG00000216906.2","processed_pseudogene","AL355312.1","1",NA,"OTTHUMG00000015800.2"
"ENSG00000216913.2","HAVANA","gene",NA,NA,"ENSG00000216913.2","processed_pseudogene","AL049693.1","1",NA,"OTTHUMG00000014834.2"
"ENSG00000216915.2","HAVANA","gene",NA,NA,"ENSG00000216915.2","processed_pseudogene","GPR89P","1","HGNC:13951","OTTHUMG00000014481.2"
"ENSG00000216917.2","HAVANA","gene",NA,NA,"ENSG00000216917.2","processed_pseudogene","AC005587.1","1",NA,"OTTHUMG00000015567.3"
"ENSG00000216921.9","HAVANA","gene",NA,NA,"ENSG00000216921.9","protein_coding","FAM240C","1","HGNC:54200","OTTHUMG00000151374.4"
"ENSG00000216937.13","HAVANA","gene",NA,NA,"ENSG00000216937.13","protein_coding","CCDC7","2","HGNC:26533","OTTHUMG00000150517.6"
"ENSG00000216938.3","HAVANA","gene",NA,NA,"ENSG00000216938.3","processed_pseudogene","RPL7P58","1","HGNC:49214","OTTHUMG00000021293.1"
"ENSG00000216966.1","HAVANA","gene",NA,NA,"ENSG00000216966.1","processed_pseudogene","AL353747.1","2",NA,"OTTHUMG00000016018.1"
"ENSG00000216977.1","HAVANA","gene",NA,NA,"ENSG00000216977.1","processed_pseudogene","RPL21P65","1","HGNC:36017","OTTHUMG00000015303.1"
"ENSG00000216990.2","HAVANA","gene",NA,NA,"ENSG00000216990.2","processed_pseudogene","HSPD1P10","1","HGNC:35131","OTTHUMG00000015167.2"
"ENSG00000216998.1","HAVANA","gene",NA,NA,"ENSG00000216998.1","unitary_pseudogene","CYP2AC1P","2","HGNC:39976","OTTHUMG00000014821.1"
"ENSG00000217004.1","HAVANA","gene",NA,NA,"ENSG00000217004.1","unprocessed_pseudogene","Z97832.1","1",NA,"OTTHUMG00000014561.1"
"ENSG00000217026.3","HAVANA","gene",NA,NA,"ENSG00000217026.3","processed_pseudogene","RPL10P1","1","HGNC:10300","OTTHUMG00000078695.1"
"ENSG00000217027.1","HAVANA","gene",NA,NA,"ENSG00000217027.1","processed_pseudogene","TPT1P4","1","HGNC:49298","OTTHUMG00000015740.1"
"ENSG00000217030.1","HAVANA","gene",NA,NA,"ENSG00000217030.1","processed_pseudogene","AL359643.1","1",NA,"OTTHUMG00000014169.1"
"ENSG00000217041.1","HAVANA","gene",NA,NA,"ENSG00000217041.1","processed_pseudogene","AL512430.2","1",NA,"OTTHUMG00000015361.1"
"ENSG00000217044.1","HAVANA","gene",NA,NA,"ENSG00000217044.1","processed_pseudogene","MTCO3P31","2","HGNC:52134","OTTHUMG00000015864.1"
"ENSG00000217060.1","HAVANA","gene",NA,NA,"ENSG00000217060.1","unprocessed_pseudogene","AL135903.1","1",NA,"OTTHUMG00000015133.1"
